# M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     (x=-1)    (x=1.35)    (x=3)
 0.7766861  3.7804 -0.1809  4.5827  5.355 -0.244  0.461  0.305  0.631  1.068  1.396  1.452  1.504  1.887  1.3856E+01  1.0935E+01  8.1602E+00
 0.7836014  3.7826 -0.1568  4.5712  5.291 -0.243  0.456  0.301  0.623  1.054  1.378  1.432  1.483  1.860  1.3827E+01  1.0687E+01  7.8593E+00
 0.7905135  3.7848 -0.1324  4.5594  5.226 -0.242  0.450  0.297  0.615  1.039  1.359  1.412  1.461  1.832  1.3734E+01  1.0399E+01  7.5378E+00
 0.7973358  3.7870 -0.1081  4.5477  5.161 -0.240  0.445  0.293  0.606  1.023  1.338  1.390  1.438  1.802  1.4190E+01  1.0524E+01  7.5188E+00
 0.8047038  3.7891 -0.0835  4.5355  5.095 -0.238  0.440  0.290  0.599  1.008  1.318  1.369  1.414  1.773  1.4931E+01  1.0840E+01  7.6289E+00
 0.8122667  3.7912 -0.0591  4.5235  5.029 -0.236  0.435  0.286  0.591  0.992  1.297  1.346  1.391  1.743  1.4934E+01  1.0609E+01  7.3536E+00
 0.8196376  3.7934 -0.0349  4.5120  4.964 -0.233  0.430  0.282  0.583  0.976  1.275  1.323  1.366  1.711  1.4810E+01  1.0298E+01  7.0314E+00
 0.8270762  3.7956 -0.0104  4.5003  4.899 -0.231  0.425  0.278  0.574  0.959  1.254  1.301  1.342  1.680  1.4648E+01  9.9734E+00  6.7102E+00
 0.8342855  3.7977  0.0137  4.4883  4.835 -0.229  0.420  0.274  0.566  0.945  1.234  1.279  1.319  1.651  1.4455E+01  9.6414E+00  6.3937E+00
 0.8415310  3.7999  0.0382  4.4764  4.770 -0.227  0.415  0.270  0.558  0.929  1.213  1.257  1.294  1.620  1.4436E+01  9.4360E+00  6.1692E+00
 0.8487219  3.8020  0.0629  4.4638  4.704 -0.226  0.410  0.266  0.550  0.913  1.192  1.235  1.271  1.589  1.4130E+01  9.0541E+00  5.8375E+00
 0.8556609  3.8042  0.0870  4.4520  4.640 -0.224  0.404  0.262  0.542  0.898  1.170  1.212  1.246  1.557  1.3842E+01  8.7001E+00  5.5338E+00
 0.8625637  3.8064  0.1115  4.4398  4.576 -0.221  0.399  0.258  0.533  0.882  1.148  1.189  1.221  1.525  1.3715E+01  8.4597E+00  5.3102E+00
 0.8693764  3.8086  0.1360  4.4275  4.511 -0.219  0.394  0.254  0.525  0.866  1.126  1.165  1.196  1.493  1.3512E+01  8.1814E+00  5.0693E+00
 0.8760753  3.8107  0.1605  4.4148  4.446 -0.216  0.389  0.250  0.518  0.851  1.105  1.143  1.172  1.462  1.3269E+01  7.8907E+00  4.8277E+00
 0.8826450  3.8129  0.1851  4.4022  4.380 -0.213  0.384  0.246  0.510  0.835  1.083  1.121  1.148  1.431  1.3203E+01  7.7142E+00  4.6614E+00
 0.8892786  3.8150  0.2103  4.3887  4.313 -0.209  0.379  0.242  0.503  0.820  1.062  1.099  1.125  1.401  1.2933E+01  7.4263E+00  4.4332E+00
 0.8955777  3.8172  0.2348  4.3760  4.248 -0.204  0.375  0.239  0.496  0.804  1.040  1.076  1.101  1.370  1.2632E+01  7.1323E+00  4.2077E+00
 0.9019102  3.8194  0.2591  4.3636  4.183 -0.199  0.370  0.235  0.489  0.788  1.017  1.053  1.076  1.338  1.2512E+01  6.9497E+00  4.0529E+00
 0.9080898  3.8219  0.2813  4.3544  4.122 -0.192  0.365  0.231  0.481  0.770  0.992  1.027  1.049  1.303  1.2396E+01  6.7749E+00  3.9063E+00
 0.9143064  3.8243  0.3039  4.3443  4.061 -0.186  0.360  0.227  0.474  0.754  0.969  1.003  1.023  1.270  1.2320E+01  6.6269E+00  3.7785E+00
 0.9204100  3.8267  0.3266  4.3341  4.001 -0.180  0.355  0.222  0.466  0.737  0.946  0.980  0.998  1.238  1.2093E+01  6.4038E+00  3.6114E+00
 0.9263995  3.8291  0.3495  4.3236  3.940 -0.174  0.350  0.218  0.457  0.721  0.924  0.957  0.974  1.208  1.2128E+01  6.3240E+00  3.5280E+00
 0.9325379  3.8314  0.3733  4.3119  3.878 -0.170  0.344  0.213  0.449  0.707  0.904  0.937  0.952  1.180  1.2155E+01  6.2418E+00  3.4448E+00
 0.9385548  3.8337  0.3970  4.3002  3.816 -0.167  0.338  0.208  0.439  0.693  0.885  0.917  0.931  1.152  1.1879E+01  6.0085E+00  3.2811E+00
 0.9444170  3.8360  0.4207  4.2884  3.755 -0.164  0.332  0.203  0.428  0.680  0.867  0.898  0.910  1.125  1.1762E+01  5.8624E+00  3.1683E+00
 0.9503172  3.8383  0.4449  4.2761  3.692 -0.160  0.325  0.197  0.418  0.667  0.849  0.879  0.890  1.099  1.1983E+01  5.8852E+00  3.1479E+00
 0.9564003  3.8404  0.4705  4.2617  3.626 -0.157  0.319  0.192  0.409  0.654  0.832  0.862  0.872  1.076  1.2002E+01  5.8079E+00  3.0745E+00
 0.9623192  3.8424  0.4969  4.2459  3.558 -0.153  0.314  0.188  0.401  0.642  0.816  0.846  0.854  1.054  1.1779E+01  5.6176E+00  2.9435E+00
 0.9681793  3.8444  0.5242  4.2293  3.487 -0.147  0.309  0.184  0.393  0.630  0.800  0.829  0.837  1.032  1.1672E+01  5.4879E+00  2.8469E+00
 0.9739917  3.8461  0.5533  4.2096  3.411 -0.141  0.304  0.181  0.388  0.619  0.786  0.815  0.821  1.014  1.1875E+01  5.5041E+00  2.8269E+00
 0.9800543  3.8474  0.5858  4.1850  3.327 -0.135  0.301  0.178  0.383  0.610  0.774  0.804  0.809  0.999  1.2512E+01  5.7151E+00  2.9052E+00
 0.9865041  3.8482  0.6224  4.1544  3.233 -0.129  0.299  0.177  0.380  0.604  0.766  0.796  0.801  0.990  1.2915E+01  5.8103E+00  2.9222E+00
 0.9929697  3.8480  0.6622  4.1167  3.132 -0.125  0.298  0.176  0.380  0.604  0.765  0.795  0.801  0.990  1.1134E+01  4.9378E+00  2.4586E+00
 0.9976380  3.8465  0.6940  4.0809  3.053 -0.126  0.300  0.178  0.382  0.612  0.775  0.805  0.812  1.002  8.3730E+00  3.6708E+00  1.8130E+00
 1.0013427  3.8442  0.7206  4.0467  2.987 -0.127  0.304  0.182  0.388  0.625  0.791  0.822  0.830  1.024  6.7814E+00  2.9467E+00  1.4463E+00
 1.0044194  3.8413  0.7430  4.0140  2.933 -0.128  0.311  0.187  0.398  0.641  0.811  0.843  0.853  1.053  5.5904E+00  2.4116E+00  1.1777E+00
 1.0069331  3.8379  0.7625  3.9820  2.885 -0.129  0.319  0.194  0.411  0.659  0.836  0.868  0.881  1.088  4.6706E+00  2.0028E+00  9.7391E-01
 1.0090900  3.8342  0.7803  3.9504  2.843 -0.129  0.329  0.202  0.427  0.679  0.863  0.897  0.912  1.128  3.8489E+00  1.6422E+00  7.9581E-01
 1.0107820  3.8302  0.7951  3.9203  2.809 -0.131  0.339  0.210  0.444  0.702  0.895  0.930  0.948  1.175  3.0699E+00  1.3046E+00  6.3041E-01
 1.0121599  3.8262  0.8078  3.8922  2.781 -0.136  0.347  0.218  0.457  0.727  0.930  0.966  0.987  1.224  2.5734E+00  1.0900E+00  5.2551E-01
 1.0133554  3.8221  0.8192  3.8649  2.759 -0.144  0.355  0.225  0.470  0.755  0.969  1.006  1.030  1.279  2.1702E+00  9.1671E-01  4.4110E-01
 1.0143301  3.8179  0.8287  3.8390  2.742 -0.153  0.364  0.232  0.483  0.785  1.011  1.049  1.076  1.337  1.8584E+00  7.8318E-01  3.7623E-01
 1.0152138  3.8137  0.8375  3.8138  2.728 -0.160  0.372  0.239  0.496  0.815  1.053  1.093  1.122  1.397  1.6453E+00  6.9196E-01  3.3194E-01
 1.0159754  3.8095  0.8453  3.7895  2.715 -0.164  0.381  0.247  0.511  0.846  1.095  1.136  1.168  1.456  1.4474E+00  6.0765E-01  2.9113E-01
 1.0166612  3.8053  0.8520  3.7663  2.706 -0.167  0.390  0.255  0.527  0.876  1.137  1.181  1.216  1.518  1.3070E+00  5.4783E-01  2.6218E-01
 1.0172824  3.8011  0.8580  3.7438  2.699 -0.170  0.399  0.263  0.543  0.907  1.180  1.225  1.264  1.579  1.1778E+00  4.9297E-01  2.3568E-01
 1.0178390  3.7969  0.8630  3.7222  2.694 -0.174  0.409  0.271  0.559  0.938  1.221  1.270  1.311  1.640  1.0759E+00  4.4973E-01  2.1482E-01
 1.0183583  3.7926  0.8672  3.7010  2.693 -0.178  0.418  0.279  0.575  0.970  1.264  1.315  1.359  1.701  1.0158E+00  4.2410E-01  2.0240E-01
 1.0188548  3.7884  0.8707  3.6809  2.694 -0.184  0.428  0.287  0.591  1.002  1.306  1.360  1.407  1.762  9.8160E-01  4.0935E-01  1.9520E-01
